Catégorie : Toutes catégories

Mois,profit: (États-Unis),investment: (États-Unis),gains: (États-Unis),cancer: (États-Unis),marriage: (États-Unis)
2004-01,11,30,4,79,40
2004-02,12,30,3,81,57
2004-03,11,30,4,82,56
2004-04,12,28,4,83,47
2004-05,10,23,3,84,45
2004-06,11,27,3,81,42
2004-07,10,27,4,79,47
2004-08,10,29,4,78,41
2004-09,11,27,3,84,45
2004-10,10,26,3,99,44
2004-11,10,27,4,93,48
2004-12,11,26,4,85,37
2005-01,10,27,4,82,37
2005-02,11,28,5,88,40
2005-03,11,29,5,86,40
2005-04,10,27,4,91,43
2005-05,10,25,4,85,42
2005-06,10,25,4,78,37
2005-07,11,25,4,77,38
2005-08,10,26,5,87,33
2005-09,11,23,4,81,37
2005-10,11,26,4,86,37
2005-11,10,23,4,78,37
2005-12,9,22,4,71,34
2006-01,10,26,5,75,34
2006-02,11,25,4,79,35
2006-03,10,27,4,83,34
2006-04,11,26,4,80,36
2006-05,10,24,3,79,36
2006-06,9,24,3,82,38
2006-07,9,22,3,73,36
2006-08,9,23,3,73,31
2006-09,10,21,3,76,32
2006-10,11,23,3,91,36
2006-11,9,23,3,77,35
2006-12,8,21,3,70,29
2007-01,10,23,3,75,31
2007-02,10,24,4,74,32
2007-03,10,24,3,78,31
2007-04,10,22,4,79,33
2007-05,10,21,3,78,31
2007-06,9,22,3,72,32
2007-07,9,23,3,71,32
2007-08,9,23,3,73,30
2007-09,11,22,2,79,31
2007-10,11,24,3,88,31
2007-11,10,21,3,72,30
2007-12,8,19,3,64,28
2008-01,10,22,3,70,29
2008-02,11,22,4,71,30
2008-03,11,22,3,81,30
2008-04,12,22,4,81,33
2008-05,10,19,2,77,34
2008-06,10,20,3,74,35
2008-07,10,19,2,72,32
2008-08,10,17,2,74,28
2008-09,11,22,3,85,30
2008-10,11,21,4,82,34
2008-11,10,16,4,70,42
2008-12,10,18,3,66,28
2009-01,11,18,2,73,29
2009-02,12,19,3,77,30
2009-03,12,19,3,78,32
2009-04,12,18,3,79,38
2009-05,11,15,2,81,37
2009-06,11,17,2,80,34
2009-07,10,17,2,74,31
2009-08,11,16,2,72,29
2009-09,11,16,2,80,31
2009-10,12,17,3,89,31
2009-11,12,16,2,77,33
2009-12,10,15,3,65,32
2010-01,12,17,3,71,31
2010-02,12,17,3,74,31
2010-03,13,18,3,77,37
2010-04,12,18,3,79,34
2010-05,12,16,2,76,32
2010-06,11,16,2,70,31
2010-07,10,13,2,63,29
2010-08,9,15,2,65,32
2010-09,11,15,2,77,27
2010-10,11,15,2,88,28
2010-11,11,15,3,72,29
2010-12,10,13,3,66,25
2011-01,12,16,2,77,32
2011-02,12,16,3,72,33
2011-03,12,17,3,73,32
2011-04,12,16,3,74,33
2011-05,11,14,2,73,33
2011-06,11,14,2,74,44
2011-07,10,13,2,68,34
2011-08,10,13,2,68,32
2011-09,11,14,2,81,33
2011-10,11,14,3,100,34
2011-11,11,13,2,77,36
2011-12,9,11,2,69,33
2012-01,10,14,3,76,36
2012-02,12,14,3,76,39
2012-03,11,14,3,76,33
2012-04,11,14,3,75,34
2012-05,10,14,2,79,47
2012-06,9,13,2,75,34
2012-07,10,12,2,68,37
2012-08,9,12,2,70,35
2012-09,11,13,3,82,33
2012-10,11,13,3,94,34
2012-11,11,12,3,72,39
2012-12,9,10,3,63,30
2013-01,10,13,3,71,30
2013-02,12,13,3,74,32
2013-03,11,14,3,75,51
2013-04,12,14,3,77,39
2013-05,11,13,3,74,38
2013-06,9,11,2,77,46
2013-07,10,11,2,75,35
2013-08,10,12,2,70,32
2013-09,11,13,3,74,32
2013-10,12,14,3,89,31
2013-11,12,13,3,73,33
2013-12,10,12,3,68,30
2014-01,11,13,3,69,33
2014-02,13,14,4,74,34
2014-03,13,14,4,78,32
2014-04,12,14,4,73,32
2014-05,10,13,3,72,35
2014-06,10,12,3,74,34
2014-07,10,13,3,72,34
2014-08,9,12,3,71,31
2014-09,11,14,3,78,32
2014-10,12,14,3,98,39
2014-11,12,13,3,70,32
2014-12,10,12,3,67,29
2015-01,11,13,4,73,33
2015-02,12,14,4,72,34
2015-03,11,14,4,73,32
2015-04,13,15,4,76,35
2015-05,11,12,3,74,35
2015-06,10,13,4,74,68
2015-07,11,13,5,73,40
2015-08,10,13,3,76,32
2015-09,12,13,3,83,35
2015-10,12,14,3,100,29
2015-11,12,13,3,77,28
2015-12,11,12,4,71,26
2016-01,11,13,3,86,29
2016-02,13,15,4,84,30
2016-03,12,14,4,81,28
2016-04,12,15,4,79,30
2016-05,10,13,3,76,29
2016-06,10,12,3,74,29
2016-07,9,12,3,73,28
2016-08,9,12,3,70,27
2016-09,11,12,3,79,27
2016-10,12,13,3,90,27
2016-11,11,13,3,72,29
2016-12,10,12,3,70,24
2017-01,11,14,3,76,28
2017-02,13,15,4,76,27
2017-03,12,15,4,76,26
2017-04,12,15,4,74,26
2017-05,11,14,4,75,27
2017-06,9,13,3,75,28
2017-07,9,13,3,77,27
2017-08,10,13,3,73,26
2017-09,10,13,3,76,25
2017-10,11,14,4,86,26
2017-11,11,15,4,76,26
2017-12,11,14,5,70,25
2018-01,11,15,5,75,25
2018-02,12,15,5,80,25
2018-03,11,14,4,78,25
2018-04,12,15,5,77,26
2018-05,10,13,3,78,26
2018-06,9,12,3,78,25
2018-07,9,12,3,79,26
2018-08,9,13,4,79,26
2018-09,10,14,4,81,25
2018-10,11,14,4,91,25
2018-11,10,12,4,79,24
2018-12,9,11,4,73,23
2019-01,10,13,4,82,26
2019-02,12,14,4,79,27
2019-03,11,14,4,91,26
2019-04,11,15,5,84,25
2019-05,10,13,3,78,24
2019-06,9,13,3,82,26
2019-07,9,13,3,80,24
2019-08,9,12,3,76,25
2019-09,10,13,3,84,24
2019-10,11,14,3,91,24
2019-11,10,13,4,79,24
2019-12,9,12,4,76,30
2020-01,10,14,4,82,30
2020-02,11,16,5,85,29
2020-03,9,14,4,63,21
2020-04,11,14,4,60,20
2020-05,9,13,4,61,23
2020-06,9,14,4,67,24
2020-07,10,14,4,72,25
2020-08,9,14,4,72,23
2020-09,10,14,4,73,23
2020-10,10,14,5,82,25
2020-11,9,14,5,68,21
