Catégorie : Toutes catégories

Mois,food: (États-Unis)
2004-01,47
2004-02,45
2004-03,46
2004-04,45
2004-05,46
2004-06,38
2004-07,36
2004-08,36
2004-09,43
2004-10,44
2004-11,48
2004-12,45
2005-01,45
2005-02,45
2005-03,45
2005-04,48
2005-05,47
2005-06,40
2005-07,39
2005-08,39
2005-09,44
2005-10,47
2005-11,51
2005-12,47
2006-01,47
2006-02,47
2006-03,45
2006-04,45
2006-05,47
2006-06,41
2006-07,39
2006-08,41
2006-09,44
2006-10,47
2006-11,49
2006-12,48
2007-01,46
2007-02,47
2007-03,64
2007-04,64
2007-05,50
2007-06,45
2007-07,45
2007-08,43
2007-09,47
2007-10,50
2007-11,55
2007-12,50
2008-01,49
2008-02,49
2008-03,49
2008-04,51
2008-05,49
2008-06,46
2008-07,48
2008-08,44
2008-09,49
2008-10,52
2008-11,54
2008-12,54
2009-01,52
2009-02,52
2009-03,50
2009-04,51
2009-05,49
2009-06,47
2009-07,48
2009-08,48
2009-09,48
2009-10,52
2009-11,55
2009-12,51
2010-01,52
2010-02,50
2010-03,51
2010-04,50
2010-05,49
2010-06,46
2010-07,46
2010-08,48
2010-09,49
2010-10,49
2010-11,53
2010-12,48
2011-01,56
2011-02,57
2011-03,55
2011-04,57
2011-05,58
2011-06,56
2011-07,55
2011-08,57
2011-09,57
2011-10,59
2011-11,60
2011-12,58
2012-01,57
2012-02,58
2012-03,57
2012-04,59
2012-05,61
2012-06,59
2012-07,63
2012-08,58
2012-09,59
2012-10,57
2012-11,61
2012-12,57
2013-01,57
2013-02,58
2013-03,61
2013-04,58
2013-05,60
2013-06,58
2013-07,60
2013-08,59
2013-09,56
2013-10,59
2013-11,60
2013-12,57
2014-01,59
2014-02,57
2014-03,56
2014-04,59
2014-05,60
2014-06,57
2014-07,58
2014-08,58
2014-09,58
2014-10,58
2014-11,57
2014-12,55
2015-01,57
2015-02,57
2015-03,60
2015-04,60
2015-05,63
2015-06,62
2015-07,63
2015-08,62
2015-09,63
2015-10,62
2015-11,63
2015-12,62
2016-01,65
2016-02,65
2016-03,67
2016-04,67
2016-05,71
2016-06,70
2016-07,70
2016-08,67
2016-09,69
2016-10,69
2016-11,71
2016-12,75
2017-01,70
2017-02,71
2017-03,76
2017-04,77
2017-05,77
2017-06,77
2017-07,84
2017-08,78
2017-09,77
2017-10,78
2017-11,77
2017-12,80
2018-01,78
2018-02,79
2018-03,83
2018-04,83
2018-05,87
2018-06,87
2018-07,90
2018-08,87
2018-09,83
2018-10,80
2018-11,84
2018-12,88
2019-01,86
2019-02,86
2019-03,89
2019-04,91
2019-05,92
2019-06,100
2019-07,100
2019-08,97
2019-09,88
2019-10,91
2019-11,92
2019-12,88
2020-01,90
2020-02,89
2020-03,87
2020-04,91
2020-05,93
2020-06,94
2020-07,96
2020-08,97
2020-09,90
2020-10,94
2020-11,88
2020-12,90
