Catégorie : Toutes catégories

Mois,adobe: (États-Unis)
2004-01,92
2004-02,92
2004-03,84
2004-04,82
2004-05,76
2004-06,86
2004-07,90
2004-08,91
2004-09,89
2004-10,84
2004-11,80
2004-12,83
2005-01,93
2005-02,86
2005-03,87
2005-04,86
2005-05,81
2005-06,81
2005-07,78
2005-08,85
2005-09,82
2005-10,77
2005-11,72
2005-12,75
2006-01,86
2006-02,82
2006-03,75
2006-04,71
2006-05,70
2006-06,74
2006-07,78
2006-08,78
2006-09,81
2006-10,79
2006-11,76
2006-12,80
2007-01,92
2007-02,92
2007-03,85
2007-04,86
2007-05,82
2007-06,91
2007-07,87
2007-08,88
2007-09,88
2007-10,84
2007-11,83
2007-12,83
2008-01,87
2008-02,89
2008-03,87
2008-04,88
2008-05,83
2008-06,88
2008-07,91
2008-08,90
2008-09,94
2008-10,90
2008-11,92
2008-12,91
2009-01,100
2009-02,98
2009-03,97
2009-04,92
2009-05,89
2009-06,91
2009-07,90
2009-08,94
2009-09,93
2009-10,95
2009-11,93
2009-12,91
2010-01,96
2010-02,94
2010-03,95
2010-04,97
2010-05,89
2010-06,91
2010-07,83
2010-08,85
2010-09,90
2010-10,86
2010-11,84
2010-12,78
2011-01,81
2011-02,83
2011-03,82
2011-04,80
2011-05,76
2011-06,76
2011-07,72
2011-08,75
2011-09,76
2011-10,75
2011-11,73
2011-12,75
2012-01,79
2012-02,73
2012-03,70
2012-04,69
2012-05,64
2012-06,68
2012-07,67
2012-08,72
2012-09,68
2012-10,62
2012-11,62
2012-12,60
2013-01,69
2013-02,71
2013-03,67
2013-04,64
2013-05,65
2013-06,59
2013-07,58
2013-08,57
2013-09,60
2013-10,62
2013-11,59
2013-12,55
2014-01,63
2014-02,61
2014-03,55
2014-04,54
2014-05,53
2014-06,53
2014-07,51
2014-08,55
2014-09,55
2014-10,56
2014-11,52
2014-12,56
2015-01,53
2015-02,50
2015-03,50
2015-04,49
2015-05,46
2015-06,49
2015-07,60
2015-08,49
2015-09,47
2015-10,46
2015-11,44
2015-12,42
2016-01,35
2016-02,37
2016-03,36
2016-04,35
2016-05,35
2016-06,36
2016-07,32
2016-08,34
2016-09,35
2016-10,35
2016-11,35
2016-12,32
2017-01,36
2017-02,37
2017-03,41
2017-04,38
2017-05,37
2017-06,34
2017-07,33
2017-08,37
2017-09,36
2017-10,37
2017-11,35
2017-12,32
2018-01,36
2018-02,36
2018-03,34
2018-04,34
2018-05,33
2018-06,31
2018-07,28
2018-08,32
2018-09,33
2018-10,35
2018-11,31
2018-12,29
2019-01,33
2019-02,34
2019-03,32
2019-04,33
2019-05,32
2019-06,30
2019-07,28
2019-08,33
2019-09,36
2019-10,35
2019-11,31
2019-12,29
2020-01,33
2020-02,34
2020-03,37
2020-04,38
2020-05,34
2020-06,33
2020-07,32
2020-08,35
2020-09,36
2020-10,31
2020-11,25
2020-12,29
