Catégorie : Toutes catégories

Mois,paypal: (États-Unis),bank of america: (États-Unis),comcast: (États-Unis),adobe: (États-Unis),coca cola: (États-Unis)
2004-01,11,23,22,46,4
2004-02,11,22,20,45,5
2004-03,10,25,23,42,4
2004-04,11,24,21,37,5
2004-05,11,25,22,37,4
2004-06,11,29,22,41,4
2004-07,17,29,25,41,5
2004-08,14,31,27,42,5
2004-09,12,29,25,42,5
2004-10,15,28,23,39,5
2004-11,13,29,23,38,4
2004-12,14,32,24,40,4
2005-01,14,31,27,43,3
2005-02,12,33,25,43,4
2005-03,13,32,24,42,4
2005-04,12,35,25,42,4
2005-05,13,37,24,39,5
2005-06,15,43,26,38,4
2005-07,16,44,26,38,4
2005-08,15,49,31,40,3
2005-09,15,41,30,38,4
2005-10,14,40,27,38,4
2005-11,15,41,26,37,4
2005-12,18,45,27,35,4
2006-01,16,42,27,41,4
2006-02,16,43,25,39,4
2006-03,17,44,26,37,4
2006-04,15,47,26,34,5
2006-05,16,46,25,34,4
2006-06,17,50,31,36,4
2006-07,17,51,30,37,4
2006-08,17,54,32,37,4
2006-09,16,51,33,40,4
2006-10,16,52,30,36,4
2006-11,17,52,30,35,4
2006-12,20,56,31,37,4
2007-01,17,56,32,43,4
2007-02,18,57,31,43,4
2007-03,18,57,30,40,4
2007-04,17,58,31,40,4
2007-05,17,59,30,38,5
2007-06,17,64,32,42,4
2007-07,18,64,33,42,4
2007-08,18,68,37,42,3
2007-09,19,66,36,43,4
2007-10,18,63,36,41,4
2007-11,19,59,33,40,4
2007-12,21,64,32,39,4
2008-01,18,65,34,42,4
2008-02,18,63,31,42,4
2008-03,19,63,31,43,4
2008-04,18,67,31,42,4
2008-05,19,73,33,40,4
2008-06,20,72,34,42,4
2008-07,21,78,34,43,4
2008-08,21,75,38,44,4
2008-09,20,85,34,44,4
2008-10,19,76,30,42,5
2008-11,21,70,31,44,4
2008-12,25,79,34,43,4
2009-01,22,80,34,46,4
2009-02,22,81,34,46,4
2009-03,22,80,31,45,5
2009-04,20,77,30,44,5
2009-05,19,74,29,43,5
2009-06,18,80,34,43,5
2009-07,19,85,33,43,4
2009-08,21,87,35,44,4
2009-09,17,82,34,44,5
2009-10,17,82,31,45,5
2009-11,18,80,30,45,5
2009-12,20,87,33,44,5
2010-01,18,86,31,46,5
2010-02,18,82,28,47,5
2010-03,18,81,29,46,5
2010-04,17,81,27,47,5
2010-05,18,79,29,44,6
2010-06,22,74,33,44,6
2010-07,21,74,32,40,5
2010-08,23,75,34,41,4
2010-09,21,76,34,43,5
2010-10,21,77,32,40,5
2010-11,21,78,33,39,5
2010-12,25,80,34,37,4
2011-01,25,89,39,39,4
2011-02,26,88,34,39,4
2011-03,25,89,34,40,4
2011-04,25,86,35,38,4
2011-05,26,90,36,38,5
2011-06,26,98,36,37,4
2011-07,26,97,37,33,4
2011-08,28,100,38,36,4
2011-09,28,100,38,36,4
2011-10,25,98,33,35,5
2011-11,27,94,31,34,4
2011-12,30,92,32,35,4
2012-01,27,89,34,36,4
2012-02,27,87,30,34,4
2012-03,28,88,29,34,4
2012-04,27,83,29,32,4
2012-05,28,83,30,32,5
2012-06,30,86,34,33,4
2012-07,30,85,36,33,4
2012-08,30,88,36,34,4
2012-09,29,84,36,33,4
2012-10,29,84,33,30,4
2012-11,29,84,33,29,4
2012-12,34,88,31,30,4
2013-01,31,86,34,33,4
2013-02,32,86,32,33,4
2013-03,33,83,33,31,4
2013-04,32,81,33,30,4
2013-05,31,81,34,30,5
2013-06,32,83,34,28,4
2013-07,34,86,36,28,4
2013-08,34,86,38,28,4
2013-09,33,76,38,28,4
2013-10,30,74,37,28,4
2013-11,31,70,39,28,4
2013-12,35,73,38,27,4
2014-01,32,71,40,29,4
2014-02,33,72,41,30,6
2014-03,33,67,36,25,4
2014-04,33,67,35,26,4
2014-05,33,66,37,24,5
2014-06,33,68,38,25,5
2014-07,33,69,41,25,6
2014-08,35,70,42,26,5
2014-09,35,66,39,26,5
2014-10,36,63,38,27,5
2014-11,33,61,37,24,4
2014-12,38,65,36,25,4
2015-01,34,61,35,25,4
2015-02,33,59,33,24,4
2015-03,32,59,32,24,4
2015-04,34,61,33,24,4
2015-05,33,60,33,22,5
2015-06,35,64,36,23,5
2015-07,37,66,36,28,4
2015-08,36,64,38,23,4
2015-09,37,60,34,23,4
2015-10,35,59,32,22,4
2015-11,34,54,31,21,4
2015-12,39,57,30,20,4
2016-01,31,50,34,17,4
2016-02,31,53,33,18,4
2016-03,31,50,31,17,4
2016-04,30,52,31,17,4
2016-05,30,51,32,17,5
2016-06,31,52,32,17,4
2016-07,31,53,33,15,4
2016-08,30,52,33,16,4
2016-09,30,48,31,17,4
2016-10,30,49,31,17,4
2016-11,30,47,28,16,4
2016-12,33,51,30,15,4
2017-01,30,46,30,17,4
2017-02,31,47,27,18,4
2017-03,31,48,26,19,4
2017-04,31,47,26,18,4
2017-05,32,47,25,18,5
2017-06,32,51,28,16,4
2017-07,33,52,28,15,4
2017-08,34,52,29,17,4
2017-09,32,48,28,17,4
2017-10,32,50,25,18,4
2017-11,34,47,25,17,4
2017-12,37,50,27,15,4
2018-01,33,47,24,17,4
2018-02,32,49,23,17,4
2018-03,32,47,23,16,4
2018-04,30,45,23,16,4
2018-05,30,44,22,16,4
2018-06,31,47,27,14,4
2018-07,32,46,25,13,4
2018-08,33,48,25,15,4
2018-09,32,44,23,16,4
2018-10,32,43,22,16,4
2018-11,35,42,20,14,4
2018-12,37,43,21,14,4
2019-01,33,43,21,16,4
2019-02,34,42,19,16,4
2019-03,33,42,20,15,4
2019-04,31,44,20,16,4
2019-05,33,42,20,15,5
2019-06,34,45,21,14,4
2019-07,34,46,21,13,4
2019-08,35,47,21,16,4
2019-09,33,41,19,17,4
2019-10,33,41,19,17,4
2019-11,36,40,18,15,4
2019-12,39,41,18,14,4
2020-01,35,40,19,16,4
2020-02,35,40,17,16,4
2020-03,35,40,21,18,3
2020-04,42,50,20,18,3
2020-05,43,46,18,17,4
2020-06,44,48,19,16,3
2020-07,41,50,18,16,6
2020-08,39,45,18,17,3
2020-09,35,44,16,17,3
2020-10,35,44,16,14,3
2020-11,35,36,16,12,3
2020-12,41,42,17,13,3
