Catégorie : Toutes catégories

Mois,oracle: (États-Unis),mcdonalds: (États-Unis),medtronic: (États-Unis),tourism: (États-Unis),bank: (États-Unis)
2004-01,8,2,< 1,6,50
2004-02,8,2,< 1,6,48
2004-03,8,3,< 1,5,51
2004-04,8,3,< 1,6,50
2004-05,8,3,< 1,6,51
2004-06,9,2,< 1,6,57
2004-07,9,2,< 1,7,57
2004-08,9,2,< 1,5,57
2004-09,8,2,< 1,4,52
2004-10,8,3,< 1,4,49
2004-11,8,2,< 1,4,50
2004-12,7,2,< 1,4,54
2005-01,8,2,< 1,5,55
2005-02,8,2,< 1,5,56
2005-03,7,3,< 1,5,54
2005-04,8,3,< 1,5,57
2005-05,8,2,< 1,5,57
2005-06,8,2,< 1,5,62
2005-07,8,2,< 1,5,62
2005-08,8,2,< 1,4,66
2005-09,8,2,< 1,3,63
2005-10,7,4,< 1,4,60
2005-11,7,3,< 1,3,60
2005-12,6,2,< 1,3,61
2006-01,6,2,< 1,3,61
2006-02,7,3,< 1,4,60
2006-03,8,3,< 1,4,62
2006-04,7,3,< 1,4,63
2006-05,7,3,< 1,4,64
2006-06,7,3,< 1,4,67
2006-07,7,3,< 1,4,69
2006-08,7,2,< 1,3,70
2006-09,6,2,< 1,3,67
2006-10,7,4,< 1,3,65
2006-11,6,3,< 1,3,66
2006-12,5,2,< 1,2,68
2007-01,6,3,< 1,3,70
2007-02,6,3,< 1,3,69
2007-03,6,3,< 1,3,71
2007-04,6,3,< 1,3,71
2007-05,7,3,< 1,3,73
2007-06,6,3,< 1,3,76
2007-07,6,3,< 1,3,79
2007-08,7,3,< 1,3,79
2007-09,6,3,< 1,3,73
2007-10,7,6,< 1,2,74
2007-11,6,3,< 1,2,70
2007-12,5,3,< 1,2,72
2008-01,6,3,< 1,3,78
2008-02,6,3,< 1,3,77
2008-03,6,3,< 1,3,78
2008-04,6,4,< 1,3,80
2008-05,6,4,< 1,3,79
2008-06,6,3,< 1,3,78
2008-07,6,3,< 1,3,87
2008-08,6,3,< 1,2,84
2008-09,6,3,< 1,2,87
2008-10,6,6,< 1,2,86
2008-11,5,4,< 1,2,77
2008-12,5,3,< 1,2,82
2009-01,5,4,< 1,2,83
2009-02,6,4,< 1,2,84
2009-03,6,4,< 1,3,88
2009-04,6,4,< 1,2,82
2009-05,6,4,< 1,3,80
2009-06,6,4,< 1,3,83
2009-07,6,4,< 1,3,89
2009-08,6,4,< 1,2,89
2009-09,6,4,< 1,2,86
2009-10,6,7,< 1,2,86
2009-11,6,4,< 1,2,84
2009-12,5,4,< 1,2,87
2010-01,6,4,< 1,2,89
2010-02,6,4,< 1,2,87
2010-03,6,5,< 1,2,88
2010-04,6,5,< 1,2,84
2010-05,6,5,< 1,2,80
2010-06,6,5,< 1,2,84
2010-07,5,6,< 1,2,86
2010-08,5,5,< 1,2,84
2010-09,6,5,< 1,1,82
2010-10,5,7,< 1,1,79
2010-11,5,5,< 1,1,78
2010-12,4,5,< 1,1,84
2011-01,4,6,< 1,1,92
2011-02,5,6,< 1,1,91
2011-03,5,6,< 1,2,91
2011-04,5,8,< 1,1,90
2011-05,4,6,< 1,2,90
2011-06,5,7,< 1,2,98
2011-07,4,7,< 1,1,100
2011-08,5,6,< 1,1,100
2011-09,4,7,< 1,1,97
2011-10,4,9,< 1,1,96
2011-11,4,6,< 1,1,93
2011-12,3,6,< 1,1,96
2012-01,4,7,< 1,1,96
2012-02,4,7,< 1,1,93
2012-03,4,7,< 1,1,95
2012-04,4,7,< 1,1,93
2012-05,4,7,< 1,1,94
2012-06,4,7,< 1,1,96
2012-07,4,7,< 1,1,98
2012-08,4,7,< 1,1,98
2012-09,4,7,< 1,1,94
2012-10,4,7,< 1,1,90
2012-11,3,6,< 1,1,91
2012-12,3,6,< 1,1,92
2013-01,4,6,< 1,1,91
2013-02,4,6,< 1,1,94
2013-03,4,7,< 1,1,92
2013-04,4,7,< 1,1,93
2013-05,4,7,< 1,1,88
2013-06,4,8,< 1,1,92
2013-07,4,9,< 1,1,98
2013-08,4,8,< 1,1,93
2013-09,4,7,< 1,1,87
2013-10,4,7,< 1,1,88
2013-11,3,7,< 1,1,82
2013-12,3,7,< 1,1,87
2014-01,4,7,< 1,1,87
2014-02,4,7,< 1,1,86
2014-03,4,7,< 1,1,81
2014-04,4,7,< 1,1,83
2014-05,4,7,< 1,1,84
2014-06,4,7,< 1,1,84
2014-07,4,7,< 1,1,87
2014-08,4,7,< 1,1,86
2014-09,4,7,< 1,1,81
2014-10,4,8,< 1,1,80
2014-11,3,6,< 1,1,77
2014-12,3,7,< 1,1,82
2015-01,3,6,< 1,1,80
2015-02,4,6,< 1,1,80
2015-03,4,7,< 1,1,79
2015-04,4,7,< 1,1,80
2015-05,3,7,< 1,1,79
2015-06,4,7,< 1,1,85
2015-07,4,8,< 1,1,88
2015-08,4,7,< 1,1,86
2015-09,4,7,< 1,1,81
2015-10,4,7,< 1,1,76
2015-11,3,7,< 1,1,75
2015-12,3,7,< 1,1,81
2016-01,3,7,< 1,1,72
2016-02,3,6,< 1,1,78
2016-03,3,7,< 1,1,75
2016-04,3,8,< 1,1,75
2016-05,3,7,< 1,1,76
2016-06,3,7,< 1,1,80
2016-07,3,8,< 1,1,79
2016-08,3,7,< 1,1,77
2016-09,3,7,< 1,1,76
2016-10,3,7,< 1,1,72
2016-11,3,7,< 1,1,73
2016-12,2,8,< 1,1,74
2017-01,3,7,< 1,1,72
2017-02,3,7,< 1,1,74
2017-03,3,7,< 1,1,72
2017-04,3,8,< 1,1,72
2017-05,3,8,< 1,1,75
2017-06,3,9,< 1,1,77
2017-07,3,9,< 1,1,79
2017-08,3,9,< 1,1,80
2017-09,3,8,< 1,1,73
2017-10,3,9,< 1,1,71
2017-11,3,8,< 1,1,72
2017-12,2,9,< 1,1,75
2018-01,3,9,< 1,1,75
2018-02,3,8,< 1,1,75
2018-03,3,9,< 1,1,74
2018-04,3,8,< 1,1,72
2018-05,3,8,< 1,1,72
2018-06,3,9,< 1,1,80
2018-07,3,10,< 1,1,76
2018-08,3,9,< 1,1,77
2018-09,3,8,< 1,1,68
2018-10,3,9,< 1,1,71
2018-11,2,9,< 1,1,69
2018-12,2,10,< 1,1,75
2019-01,3,9,< 1,1,73
2019-02,3,9,< 1,1,77
2019-03,3,9,< 1,1,73
2019-04,3,9,< 1,1,76
2019-05,3,10,< 1,1,71
2019-06,3,12,< 1,1,74
2019-07,2,11,< 1,1,78
2019-08,2,11,< 1,1,77
2019-09,3,9,< 1,1,70
2019-10,3,9,< 1,1,71
2019-11,2,10,< 1,1,73
2019-12,2,10,< 1,1,72
2020-01,2,9,< 1,1,69
2020-02,2,9,< 1,1,74
2020-03,2,9,< 1,1,70
2020-04,2,9,< 1,1,91
2020-05,2,9,< 1,1,72
2020-06,2,9,< 1,1,74
2020-07,2,8,< 1,1,73
2020-08,2,9,< 1,1,68
2020-09,3,10,< 1,1,66
2020-10,2,9,< 1,1,67
2020-11,2,9,< 1,1,62
2020-12,2,9,< 1,1,72
