Catégorie : Toutes catégories

Mois,walmart: (États-Unis),johnson: (États-Unis),jp morgan: (États-Unis),procter and gamble: (États-Unis),mastercard: (États-Unis)
2004-01,8,12,1,< 1,1
2004-02,8,13,1,< 1,1
2004-03,8,13,< 1,< 1,1
2004-04,9,12,< 1,< 1,1
2004-05,9,12,< 1,< 1,1
2004-06,10,22,< 1,< 1,1
2004-07,11,13,1,< 1,1
2004-08,11,12,< 1,< 1,1
2004-09,9,12,1,< 1,1
2004-10,9,11,< 1,< 1,1
2004-11,14,11,< 1,< 1,1
2004-12,18,11,< 1,< 1,1
2005-01,10,13,1,< 1,1
2005-02,10,14,< 1,< 1,1
2005-03,10,15,1,< 1,1
2005-04,11,14,< 1,< 1,1
2005-05,12,13,1,< 1,1
2005-06,13,13,1,< 1,1
2005-07,13,14,1,< 1,1
2005-08,14,14,1,< 1,1
2005-09,12,14,< 1,< 1,1
2005-10,13,12,< 1,< 1,1
2005-11,20,13,< 1,< 1,1
2005-12,22,12,< 1,< 1,1
2006-01,13,13,1,< 1,1
2006-02,12,15,1,< 1,1
2006-03,13,13,1,< 1,1
2006-04,13,13,1,< 1,1
2006-05,14,13,1,< 1,1
2006-06,15,12,1,< 1,1
2006-07,16,12,< 1,< 1,1
2006-08,16,12,1,< 1,1
2006-09,15,12,1,< 1,1
2006-10,17,11,1,< 1,1
2006-11,27,11,< 1,< 1,1
2006-12,29,11,< 1,< 1,1
2007-01,16,12,1,< 1,1
2007-02,15,12,1,< 1,1
2007-03,15,12,< 1,< 1,1
2007-04,16,12,1,< 1,1
2007-05,17,12,1,< 1,1
2007-06,19,12,1,< 1,1
2007-07,20,12,< 1,< 1,1
2007-08,19,12,1,< 1,1
2007-09,19,12,1,< 1,1
2007-10,18,12,1,< 1,1
2007-11,31,11,< 1,< 1,1
2007-12,32,11,< 1,< 1,1
2008-01,18,12,1,< 1,1
2008-02,17,13,1,< 1,1
2008-03,18,12,1,< 1,1
2008-04,18,12,1,< 1,1
2008-05,20,12,1,< 1,1
2008-06,23,13,1,< 1,1
2008-07,23,11,1,< 1,1
2008-08,23,18,< 1,< 1,1
2008-09,21,13,1,< 1,1
2008-10,23,12,1,< 1,1
2008-11,38,11,1,< 1,1
2008-12,45,11,1,< 1,1
2009-01,24,11,1,< 1,1
2009-02,23,12,1,< 1,1
2009-03,23,13,1,< 1,1
2009-04,21,12,1,< 1,1
2009-05,23,12,1,< 1,1
2009-06,24,11,1,< 1,1
2009-07,24,11,1,< 1,1
2009-08,25,12,1,< 1,1
2009-09,26,11,1,< 1,1
2009-10,26,12,1,< 1,1
2009-11,44,12,1,< 1,1
2009-12,44,11,1,< 1,1
2010-01,26,15,1,< 1,1
2010-02,25,12,1,< 1,1
2010-03,24,11,1,< 1,1
2010-04,23,14,1,< 1,1
2010-05,25,12,1,< 1,1
2010-06,26,12,1,< 1,1
2010-07,27,12,1,< 1,1
2010-08,27,12,1,< 1,1
2010-09,26,11,1,< 1,1
2010-10,27,11,1,< 1,1
2010-11,45,12,1,< 1,1
2010-12,46,10,1,< 1,1
2011-01,35,12,1,< 1,1
2011-02,34,12,1,< 1,1
2011-03,32,12,1,< 1,1
2011-04,32,12,1,< 1,1
2011-05,34,13,1,< 1,1
2011-06,38,12,1,< 1,1
2011-07,39,12,1,< 1,1
2011-08,38,12,1,< 1,1
2011-09,37,12,1,< 1,1
2011-10,39,12,1,< 1,1
2011-11,65,12,1,< 1,1
2011-12,62,11,< 1,< 1,1
2012-01,40,12,1,< 1,1
2012-02,40,11,1,< 1,1
2012-03,39,12,1,< 1,1
2012-04,37,12,1,< 1,1
2012-05,39,13,1,< 1,1
2012-06,43,13,1,< 1,1
2012-07,44,13,1,< 1,1
2012-08,43,16,1,< 1,1
2012-09,41,13,1,< 1,1
2012-10,41,12,1,< 1,1
2012-11,70,13,1,< 1,1
2012-12,68,12,< 1,< 1,1
2013-01,42,11,1,< 1,1
2013-02,41,11,1,< 1,1
2013-03,42,11,1,< 1,1
2013-04,41,13,1,< 1,1
2013-05,43,12,1,< 1,1
2013-06,47,12,< 1,< 1,1
2013-07,47,12,1,< 1,1
2013-08,47,12,< 1,< 1,1
2013-09,44,14,1,< 1,1
2013-10,44,12,1,< 1,1
2013-11,73,12,1,< 1,1
2013-12,73,11,1,< 1,1
2014-01,41,12,1,< 1,1
2014-02,43,12,1,< 1,1
2014-03,43,11,< 1,< 1,1
2014-04,42,14,1,< 1,1
2014-05,44,13,< 1,< 1,1
2014-06,46,12,1,< 1,1
2014-07,48,13,< 1,< 1,1
2014-08,49,13,< 1,< 1,1
2014-09,44,12,< 1,< 1,1
2014-10,46,11,1,< 1,1
2014-11,73,11,< 1,< 1,1
2014-12,74,11,< 1,< 1,1
2015-01,44,12,1,< 1,1
2015-02,44,14,< 1,< 1,1
2015-03,43,13,< 1,< 1,1
2015-04,44,12,< 1,< 1,1
2015-05,47,13,< 1,< 1,1
2015-06,51,13,1,< 1,1
2015-07,55,14,< 1,< 1,1
2015-08,53,12,< 1,< 1,1
2015-09,48,13,< 1,< 1,1
2015-10,49,12,< 1,< 1,1
2015-11,72,11,< 1,< 1,1
2015-12,73,11,< 1,< 1,1
2016-01,46,12,< 1,< 1,1
2016-02,44,12,< 1,< 1,1
2016-03,45,12,< 1,< 1,1
2016-04,44,12,< 1,< 1,1
2016-05,49,12,< 1,< 1,1
2016-06,54,14,< 1,< 1,1
2016-07,58,16,< 1,< 1,1
2016-08,51,15,< 1,< 1,1
2016-09,48,14,< 1,< 1,1
2016-10,51,12,< 1,< 1,1
2016-11,75,12,< 1,< 1,1
2016-12,78,10,< 1,< 1,1
2017-01,48,11,< 1,< 1,1
2017-02,48,12,< 1,< 1,1
2017-03,51,11,< 1,< 1,1
2017-04,53,12,< 1,< 1,1
2017-05,54,12,< 1,< 1,1
2017-06,60,11,< 1,< 1,1
2017-07,62,12,< 1,< 1,1
2017-08,60,12,< 1,< 1,1
2017-09,54,12,< 1,< 1,1
2017-10,55,11,< 1,< 1,1
2017-11,85,10,< 1,< 1,1
2017-12,82,11,< 1,< 1,1
2018-01,53,11,1,< 1,1
2018-02,51,11,1,< 1,1
2018-03,54,11,< 1,< 1,1
2018-04,55,12,< 1,< 1,1
2018-05,57,11,< 1,< 1,1
2018-06,61,12,< 1,< 1,1
2018-07,65,12,< 1,< 1,1
2018-08,60,12,< 1,< 1,1
2018-09,55,11,1,< 1,1
2018-10,54,11,< 1,< 1,1
2018-11,86,10,< 1,< 1,1
2018-12,87,10,< 1,< 1,1
2019-01,55,10,1,< 1,1
2019-02,53,11,< 1,< 1,1
2019-03,57,11,< 1,< 1,1
2019-04,59,12,< 1,< 1,1
2019-05,61,11,< 1,< 1,1
2019-06,64,11,< 1,< 1,1
2019-07,67,12,1,< 1,1
2019-08,66,12,< 1,< 1,1
2019-09,58,11,< 1,< 1,1
2019-10,57,11,< 1,< 1,1
2019-11,84,12,< 1,< 1,1
2019-12,87,11,< 1,< 1,1
2020-01,53,11,1,< 1,1
2020-02,52,12,< 1,< 1,1
2020-03,75,10,1,< 1,1
2020-04,88,13,1,< 1,1
2020-05,86,10,< 1,< 1,1
2020-06,83,15,< 1,< 1,1
2020-07,75,12,< 1,< 1,1
2020-08,68,11,< 1,< 1,1
2020-09,61,10,< 1,< 1,1
2020-10,66,11,< 1,< 1,1
2020-11,100,10,< 1,< 1,1
2020-12,90,10,< 1,< 1,1
