Catégorie : Toutes catégories

Mois,pfizer: (États-Unis),netflix: (États-Unis),nike: (États-Unis),intel: (États-Unis),at&t: (États-Unis)
2004-01,2,5,13,13,16
2004-02,2,4,15,13,16
2004-03,2,5,16,12,15
2004-04,2,4,16,11,15
2004-05,2,5,15,11,15
2004-06,2,5,16,12,17
2004-07,2,6,18,12,17
2004-08,2,5,18,13,17
2004-09,2,6,16,12,16
2004-10,2,6,15,11,15
2004-11,2,6,16,11,14
2004-12,2,7,18,12,13
2005-01,2,9,15,12,12
2005-02,2,8,17,11,11
2005-03,1,8,17,11,9
2005-04,2,7,17,10,8
2005-05,1,8,17,10,7
2005-06,2,8,18,14,7
2005-07,2,8,19,11,6
2005-08,1,10,18,12,7
2005-09,2,8,15,11,5
2005-10,2,9,15,10,5
2005-11,1,10,18,10,5
2005-12,1,11,18,11,5
2006-01,2,12,16,15,6
2006-02,2,11,18,12,6
2006-03,2,11,18,13,6
2006-04,1,10,19,12,6
2006-05,2,10,18,11,7
2006-06,2,12,19,12,7
2006-07,1,12,19,13,7
2006-08,2,12,19,14,7
2006-09,1,11,18,13,7
2006-10,1,12,17,12,7
2006-11,1,12,17,12,7
2006-12,2,14,20,12,7
2007-01,2,16,17,12,9
2007-02,1,14,18,12,8
2007-03,1,13,19,11,7
2007-04,1,12,18,10,8
2007-05,1,11,18,11,9
2007-06,1,13,18,11,15
2007-07,1,15,20,12,18
2007-08,1,14,21,11,19
2007-09,1,14,20,11,19
2007-10,1,13,18,10,19
2007-11,1,13,19,11,19
2007-12,1,15,21,11,21
2008-01,1,16,18,11,21
2008-02,1,15,20,11,21
2008-03,1,16,21,10,20
2008-04,1,14,22,10,21
2008-05,1,15,21,9,22
2008-06,1,17,20,10,26
2008-07,1,17,21,10,31
2008-08,1,16,25,10,26
2008-09,1,16,20,10,20
2008-10,1,16,19,10,20
2008-11,1,21,21,11,27
2008-12,1,24,23,11,28
2009-01,2,25,18,11,26
2009-02,1,23,20,10,26
2009-03,1,22,21,10,24
2009-04,1,20,20,9,23
2009-05,1,21,20,10,24
2009-06,1,23,20,10,30
2009-07,1,24,20,10,28
2009-08,1,26,22,10,28
2009-09,1,25,20,10,30
2009-10,1,24,19,10,35
2009-11,1,29,21,12,36
2009-12,1,33,22,11,38
2010-01,1,36,19,11,31
2010-02,1,35,20,11,28
2010-03,1,36,20,10,28
2010-04,1,35,22,10,27
2010-05,1,37,21,9,31
2010-06,1,41,21,9,46
2010-07,1,41,21,9,37
2010-08,1,43,22,9,34
2010-09,1,44,21,8,29
2010-10,1,46,20,8,26
2010-11,1,48,23,9,25
2010-12,1,56,24,9,26
2011-01,1,73,22,9,28
2011-02,1,67,25,9,28
2011-03,1,71,26,8,31
2011-04,1,68,26,7,26
2011-05,1,73,25,8,28
2011-06,1,81,24,7,29
2011-07,1,85,25,7,27
2011-08,1,75,27,7,27
2011-09,1,73,27,7,25
2011-10,1,68,23,7,29
2011-11,1,65,25,8,24
2011-12,1,72,30,7,23
2012-01,1,74,28,7,25
2012-02,1,67,33,6,27
2012-03,1,68,32,6,26
2012-04,1,62,38,7,26
2012-05,1,61,30,7,26
2012-06,1,69,32,6,28
2012-07,1,69,33,6,28
2012-08,1,64,37,7,27
2012-09,1,65,29,6,37
2012-10,1,66,27,6,30
2012-11,1,68,31,7,29
2012-12,1,83,35,6,29
2013-01,1,78,30,6,26
2013-02,1,74,32,6,24
2013-03,1,73,33,6,25
2013-04,1,67,31,6,24
2013-05,1,68,30,6,25
2013-06,1,75,30,6,27
2013-07,1,74,31,6,30
2013-08,1,74,34,6,34
2013-09,1,71,29,6,37
2013-10,1,70,29,6,32
2013-11,1,74,33,6,32
2013-12,< 1,86,41,6,34
2014-01,1,89,32,6,30
2014-02,1,76,36,6,33
2014-03,1,68,36,6,31
2014-04,1,64,35,6,31
2014-05,1,63,32,5,29
2014-06,1,69,32,6,27
2014-07,1,72,34,6,30
2014-08,1,70,37,6,32
2014-09,1,64,31,6,43
2014-10,1,63,29,6,36
2014-11,1,69,34,7,33
2014-12,< 1,75,42,6,34
2015-01,1,76,32,6,30
2015-02,1,67,35,6,25
2015-03,1,66,34,6,23
2015-04,1,66,34,6,23
2015-05,1,66,33,6,23
2015-06,1,75,31,6,27
2015-07,1,73,36,6,29
2015-08,1,75,39,7,28
2015-09,1,74,33,6,31
2015-10,1,71,35,6,27
2015-11,1,68,41,7,25
2015-12,1,73,45,6,26
2016-01,1,72,37,5,21
2016-02,1,60,41,5,21
2016-03,1,60,41,5,21
2016-04,1,55,37,5,21
2016-05,1,55,37,5,21
2016-06,1,59,35,5,23
2016-07,< 1,59,38,5,23
2016-08,1,55,42,4,23
2016-09,1,57,35,4,27
2016-10,1,58,34,4,23
2016-11,1,57,44,5,22
2016-12,1,64,47,5,23
2017-01,1,66,34,5,21
2017-02,1,57,36,5,19
2017-03,1,56,38,5,20
2017-04,1,60,34,4,19
2017-05,1,57,32,5,20
2017-06,< 1,57,33,5,21
2017-07,< 1,61,37,4,21
2017-08,1,59,40,4,21
2017-09,1,57,34,4,22
2017-10,1,58,33,4,20
2017-11,1,60,43,5,22
2017-12,< 1,71,45,4,22
2018-01,1,70,32,6,17
