Catégorie : Toutes catégories

Mois,revenues: (États-Unis)
2004-01,56
2004-02,65
2004-03,99
2004-04,83
2004-05,58
2004-06,78
2004-07,53
2004-08,79
2004-09,54
2004-10,65
2004-11,100
2004-12,57
2005-01,57
2005-02,75
2005-03,69
2005-04,68
2005-05,61
2005-06,56
2005-07,68
2005-08,49
2005-09,53
2005-10,56
2005-11,60
2005-12,51
2006-01,56
2006-02,67
2006-03,64
2006-04,67
2006-05,48
2006-06,56
2006-07,44
2006-08,45
2006-09,46
2006-10,41
2006-11,46
2006-12,52
2007-01,52
2007-02,52
2007-03,50
2007-04,53
2007-05,46
2007-06,50
2007-07,40
2007-08,32
2007-09,48
2007-10,55
2007-11,51
2007-12,43
2008-01,41
2008-02,43
2008-03,47
2008-04,55
2008-05,51
2008-06,42
2008-07,43
2008-08,45
2008-09,52
2008-10,52
2008-11,45
2008-12,44
2009-01,42
2009-02,47
2009-03,49
2009-04,54
2009-05,47
2009-06,37
2009-07,42
2009-08,36
2009-09,45
2009-10,48
2009-11,56
2009-12,49
2010-01,42
2010-02,56
2010-03,45
2010-04,52
2010-05,40
2010-06,36
2010-07,36
2010-08,30
2010-09,41
2010-10,47
2010-11,41
2010-12,37
2011-01,37
2011-02,45
2011-03,44
2011-04,52
2011-05,41
2011-06,37
2011-07,46
2011-08,37
2011-09,44
2011-10,49
2011-11,44
2011-12,33
2012-01,39
2012-02,41
2012-03,35
2012-04,42
2012-05,38
2012-06,29
2012-07,30
2012-08,32
2012-09,38
2012-10,43
2012-11,34
2012-12,29
2013-01,33
2013-02,42
2013-03,37
2013-04,36
2013-05,33
2013-06,28
2013-07,27
2013-08,23
2013-09,39
2013-10,40
2013-11,37
2013-12,27
2014-01,30
2014-02,44
2014-03,32
2014-04,42
2014-05,35
2014-06,29
2014-07,24
2014-08,29
2014-09,42
2014-10,42
2014-11,36
2014-12,30
2015-01,28
2015-02,41
2015-03,35
2015-04,39
2015-05,31
2015-06,30
2015-07,26
2015-08,27
2015-09,43
2015-10,38
2015-11,36
2015-12,32
2016-01,35
2016-02,50
2016-03,36
2016-04,45
2016-05,36
2016-06,31
2016-07,26
2016-08,26
2016-09,41
2016-10,41
2016-11,34
2016-12,31
2017-01,33
2017-02,50
2017-03,42
2017-04,47
2017-05,33
2017-06,26
2017-07,25
2017-08,25
2017-09,38
2017-10,44
2017-11,37
2017-12,28
2018-01,33
2018-02,43
2018-03,35
2018-04,41
2018-05,32
2018-06,27
2018-07,27
2018-08,29
2018-09,47
2018-10,41
2018-11,35
2018-12,29
2019-01,32
2019-02,45
2019-03,34
2019-04,39
2019-05,27
2019-06,28
2019-07,25
2019-08,21
2019-09,38
2019-10,38
2019-11,32
2019-12,26
2020-01,26
2020-02,41
2020-03,35
2020-04,47
2020-05,32
2020-06,28
2020-07,30
2020-08,25
2020-09,52
2020-10,41
2020-11,36
2020-12,39
