Catégorie : Toutes catégories

Mois,nyse: (États-Unis),movie: (États-Unis),health: (États-Unis),consumption: (États-Unis),transaction: (États-Unis)
2004-01,1,68,37,1,1
2004-02,1,61,37,1,1
2004-03,1,61,35,1,1
2004-04,1,58,35,1,1
2004-05,1,63,34,2,1
2004-06,1,67,35,2,1
2004-07,1,70,34,1,1
2004-08,1,62,35,1,1
2004-09,1,55,35,2,1
2004-10,1,60,36,2,1
2004-11,1,64,35,2,1
2004-12,1,67,31,1,1
2005-01,1,65,36,1,1
2005-02,1,60,36,1,1
2005-03,1,58,34,1,1
2005-04,1,58,34,1,1
2005-05,1,64,33,1,1
2005-06,1,65,34,1,1
2005-07,1,69,32,1,1
2005-08,1,61,33,1,1
2005-09,1,56,35,1,1
2005-10,1,64,34,1,1
2005-11,1,70,33,2,1
2005-12,1,71,29,1,1
2006-01,1,71,34,1,1
2006-02,1,62,34,1,1
2006-03,1,59,33,2,1
2006-04,1,63,32,2,1
2006-05,1,63,32,2,1
2006-06,1,68,32,1,1
2006-07,1,73,31,1,1
2006-08,1,63,32,1,1
2006-09,1,58,32,2,1
2006-10,1,60,33,2,1
2006-11,1,65,32,2,1
2006-12,1,69,28,2,1
2007-01,1,63,34,1,1
2007-02,1,60,32,1,1
2007-03,1,62,32,1,1
2007-04,1,57,32,2,1
2007-05,1,58,31,1,1
2007-06,1,65,32,1,1
2007-07,1,80,31,1,1
2007-08,1,66,32,1,1
2007-09,1,59,33,1,1
2007-10,1,59,34,1,1
2007-11,1,64,31,1,1
2007-12,1,73,26,1,1
2008-01,1,70,34,1,1
2008-02,1,63,33,1,1
2008-03,1,61,32,1,1
2008-04,1,59,33,1,1
2008-05,1,67,30,1,1
2008-06,1,69,30,1,1
2008-07,1,72,30,1,1
2008-08,< 1,65,30,1,1
2008-09,1,56,31,1,1
2008-10,2,62,32,1,1
2008-11,1,70,29,1,1
2008-12,1,70,27,1,1
2009-01,1,71,32,1,1
2009-02,1,66,32,1,1
2009-03,1,62,33,1,1
2009-04,1,63,32,1,1
2009-05,1,68,30,1,1
2009-06,1,73,32,1,1
2009-07,< 1,72,34,1,1
2009-08,< 1,71,36,1,1
2009-09,< 1,63,37,1,1
2009-10,1,67,37,1,1
2009-11,1,78,38,1,1
2009-12,1,77,31,1,1
2010-01,< 1,74,32,1,1
2010-02,< 1,67,32,1,1
2010-03,< 1,65,44,1,1
2010-04,< 1,61,33,1,1
2010-05,1,65,29,1,1
2010-06,< 1,67,29,1,1
2010-07,< 1,73,26,1,1
2010-08,< 1,63,28,< 1,1
2010-09,< 1,58,29,1,1
2010-10,< 1,61,28,1,1
2010-11,< 1,64,27,1,1
2010-12,1,65,24,1,< 1
2011-01,1,69,30,1,1
2011-02,1,66,30,1,1
2011-03,< 1,62,31,1,1
2011-04,< 1,67,30,1,1
2011-05,< 1,70,29,1,1
2011-06,< 1,73,29,1,1
2011-07,< 1,79,28,1,1
2011-08,1,69,29,1,1
2011-09,< 1,64,30,1,1
2011-10,< 1,67,29,1,1
2011-11,< 1,69,28,1,1
2011-12,< 1,74,25,1,< 1
2012-01,< 1,72,30,1,1
2012-02,< 1,68,29,1,1
2012-03,< 1,69,29,1,1
2012-04,< 1,68,28,1,1
2012-05,< 1,70,28,1,1
2012-06,< 1,77,29,1,1
2012-07,< 1,82,27,< 1,1
2012-08,< 1,68,28,< 1,1
2012-09,< 1,67,28,1,1
2012-10,1,63,28,1,1
2012-11,< 1,72,26,1,1
2012-12,< 1,78,23,< 1,< 1
2013-01,< 1,76,30,1,1
2013-02,< 1,69,28,1,1
2013-03,< 1,69,28,1,1
2013-04,< 1,68,29,1,1
2013-05,< 1,69,27,1,1
2013-06,< 1,80,26,< 1,1
2013-07,< 1,86,28,< 1,1
2013-08,< 1,75,28,< 1,1
2013-09,< 1,66,30,1,1
2013-10,< 1,65,34,1,1
2013-11,< 1,73,29,1,1
2013-12,< 1,80,27,1,1
2014-01,< 1,79,31,1,1
2014-02,< 1,76,30,1,1
2014-03,< 1,79,31,1,1
2014-04,< 1,75,29,1,1
2014-05,< 1,75,27,1,1
2014-06,< 1,83,28,1,1
2014-07,< 1,87,28,1,1
2014-08,< 1,83,29,1,1
2014-09,< 1,66,31,1,1
2014-10,< 1,75,31,1,1
2014-11,< 1,82,28,1,1
2014-12,< 1,90,28,1,1
2015-01,< 1,91,31,1,1
2015-02,< 1,90,31,1,1
2015-03,< 1,79,30,1,1
2015-04,< 1,78,30,1,1
2015-05,< 1,81,27,1,1
2015-06,< 1,90,29,1,1
2015-07,1,96,30,1,1
2015-08,< 1,88,30,< 1,1
2015-09,< 1,76,31,1,1
2015-10,< 1,77,31,1,1
2015-11,< 1,87,30,1,1
2015-12,< 1,100,29,1,1
2016-01,< 1,94,31,1,1
2016-02,< 1,86,32,1,1
2016-03,< 1,80,31,1,1
2016-04,< 1,77,31,1,1
2016-05,< 1,83,29,1,1
2016-06,< 1,84,29,< 1,1
2016-07,< 1,90,28,1,1
2016-08,< 1,77,30,< 1,1
2016-09,< 1,72,30,1,1
2016-10,< 1,75,30,1,1
2016-11,< 1,78,30,1,1
2016-12,< 1,93,27,1,1
2017-01,< 1,92,33,1,1
2017-02,< 1,86,32,1,1
2017-03,< 1,89,33,1,1
2017-04,< 1,79,30,1,1
2017-05,< 1,77,31,1,1
2017-06,< 1,87,31,< 1,1
2017-07,< 1,90,31,< 1,1
2017-08,< 1,78,32,< 1,1
2017-09,< 1,78,30,1,1
2017-10,< 1,73,33,1,1
2017-11,< 1,76,32,1,1
2017-12,< 1,87,29,1,1
2018-01,< 1,80,33,1,1
2018-02,< 1,82,33,1,1
2018-03,< 1,77,31,1,1
2018-04,< 1,76,31,1,1
2018-05,< 1,74,31,1,1
2018-06,< 1,79,30,< 1,1
2018-07,< 1,80,30,< 1,1
2018-08,< 1,73,32,< 1,1
2018-09,< 1,70,31,1,1
