Catégorie : Toutes catégories

Mois,success: (États-Unis),economy: (États-Unis),food: (États-Unis),war: (États-Unis),consume: (États-Unis)
2019-05,3,4,93,31,< 1
2019-06,2,3,96,20,< 1
2019-07,2,3,100,16,< 1
2019-08,3,3,94,17,< 1
2019-09,3,4,89,21,< 1
2019-10,3,4,88,23,< 1
2019-11,2,3,90,23,< 1
2019-12,2,3,88,22,< 1
2020-01,3,4,90,33,< 1
2020-02,3,4,92,23,< 1
2020-03,2,5,90,24,< 1
2020-04,2,5,91,28,1
2020-05,2,4,92,28,< 1
2020-06,2,2,92,21,< 1
2020-07,2,2,96,18,< 1
2020-08,2,3,95,19,< 1
2020-09,3,4,90,24,1
2020-10,2,4,94,24,1
2020-11,2,3,88,36,1
2020-12,2,3,91,31,1
