Catégorie : Toutes catégories

Mois,society: (États-Unis),gross: (États-Unis),loss: (États-Unis),hedge: (États-Unis),nasdaq: (États-Unis)
2004-01,98,11,38,5,7
2004-02,99,10,37,5,5
2004-03,100,11,37,5,8
2004-04,99,10,35,6,6
2004-05,91,10,36,6,4
2004-06,90,9,36,6,4
2004-07,89,10,38,6,4
2004-08,85,9,35,6,4
2004-09,89,10,34,6,4
2004-10,92,10,34,5,4
2004-11,90,9,36,5,5
2004-12,83,9,33,5,5
2005-01,86,9,38,5,5
2005-02,91,10,37,5,4
2005-03,89,9,37,6,7
2005-04,91,10,37,5,5
2005-05,85,10,37,6,3
2005-06,80,9,38,7,3
2005-07,77,8,36,6,4
2005-08,78,9,35,6,4
2005-09,95,9,33,6,4
2005-10,87,10,33,6,4
2005-11,80,9,33,6,4
2005-12,73,10,31,5,4
2006-01,78,10,40,6,4
2006-02,81,10,38,5,5
2006-03,79,9,37,6,8
2006-04,77,10,37,7,4
2006-05,77,9,35,14,4
2006-06,68,8,35,12,3
2006-07,65,9,34,7,4
2006-08,68,8,34,7,3
2006-09,72,9,33,7,4
2006-10,74,9,34,8,4
2006-11,68,8,32,7,4
2006-12,65,8,30,6,3
2007-01,70,9,40,6,4
2007-02,73,9,36,6,4
2007-03,70,9,37,6,4
2007-04,72,9,37,7,3
2007-05,68,8,37,7,3
2007-06,62,8,39,8,3
2007-07,62,8,39,7,4
2007-08,62,8,36,8,4
2007-09,66,8,37,6,3
2007-10,69,9,36,6,4
2007-11,62,9,33,5,4
2007-12,58,8,31,5,3
2008-01,63,9,41,5,4
2008-02,64,10,37,5,3
2008-03,65,9,40,6,3
2008-04,69,9,40,7,3
2008-05,61,8,35,6,3
2008-06,56,8,35,6,3
2008-07,56,9,36,6,3
2008-08,54,8,33,5,3
2008-09,61,9,36,6,4
2008-10,61,9,36,8,6
2008-11,60,8,35,6,4
2008-12,57,8,34,6,3
2009-01,60,9,43,4,3
2009-02,64,10,39,4,3
2009-03,64,9,40,6,4
2009-04,64,9,39,5,3
2009-05,58,8,37,5,3
2009-06,54,8,39,5,3
2009-07,55,8,39,5,3
2009-08,55,8,40,4,2
2009-09,62,8,38,4,3
2009-10,61,10,38,5,3
2009-11,59,9,37,4,2
2009-12,55,9,34,3,2
2010-01,57,10,44,4,2
2010-02,58,10,42,4,2
2010-03,61,10,44,4,2
2010-04,60,10,43,5,3
2010-05,55,9,44,5,3
2010-06,51,8,43,5,2
2010-07,44,8,38,4,2
2010-08,46,8,36,4,2
2010-09,50,8,37,4,2
2010-10,49,9,36,4,2
2010-11,49,8,35,4,2
2010-12,45,8,33,3,2
2011-01,52,9,48,4,3
2011-02,53,9,44,4,3
2011-03,55,10,44,4,3
2011-04,54,9,44,5,3
2011-05,50,8,45,5,2
2011-06,48,8,45,5,2
2011-07,44,8,44,5,2
2011-08,46,8,41,5,3
2011-09,51,9,42,5,2
2011-10,51,9,40,5,2
2011-11,48,9,39,4,2
2011-12,45,8,41,4,2
2012-01,48,10,49,4,2
2012-02,52,10,46,4,3
2012-03,49,9,46,4,2
2012-04,49,9,48,4,2
2012-05,47,9,46,5,4
2012-06,42,8,46,4,2
2012-07,41,9,46,4,2
2012-08,40,8,43,4,2
2012-09,46,9,43,4,2
2012-10,46,9,41,4,2
2012-11,43,9,40,4,2
2012-12,42,8,36,3,2
2013-01,44,9,46,3,2
2013-02,46,10,44,4,2
2013-03,45,10,46,4,2
2013-04,46,10,48,4,2
2013-05,43,9,45,5,2
2013-06,40,8,45,5,2
2013-07,39,9,46,5,2
2013-08,39,8,43,4,3
2013-09,44,9,43,4,2
2013-10,44,10,43,4,3
2013-11,41,9,41,4,2
2013-12,39,9,40,3,2
2014-01,42,10,49,4,3
2014-02,44,10,49,4,3
2014-03,43,10,48,4,3
2014-04,43,10,48,4,3
2014-05,41,9,46,5,2
2014-06,38,10,46,5,2
2014-07,36,9,48,5,2
2014-08,43,9,42,4,2
2014-09,47,10,42,4,3
2014-10,47,10,43,4,3
2014-11,44,9,39,4,3
2014-12,42,10,38,4,3
2015-01,42,11,48,4,3
2015-02,43,11,44,4,3
2015-03,43,10,46,4,3
2015-04,43,10,46,4,3
2015-05,39,10,43,5,3
2015-06,37,9,43,5,2
2015-07,36,9,45,5,3
2015-08,37,9,42,5,4
2015-09,42,10,42,5,3
2015-10,41,10,43,5,3
2015-11,41,10,42,4,2
2015-12,39,10,40,4,2
2016-01,37,10,48,4,3
2016-02,40,11,48,5,3
2016-03,39,10,49,5,2
2016-04,40,11,50,5,2
2016-05,38,9,44,6,2
2016-06,33,9,44,5,3
2016-07,34,8,44,5,2
2016-08,35,8,43,5,2
2016-09,38,9,43,5,2
2016-10,38,9,43,5,2
2016-11,36,9,42,5,3
2016-12,35,9,41,4,2
2017-01,38,10,53,4,3
2017-02,39,11,50,4,3
2017-03,39,10,52,5,3
2017-04,38,10,51,5,3
2017-05,37,9,48,6,3
2017-06,32,8,46,5,3
2017-07,31,8,46,5,3
2017-08,34,9,43,5,3
2017-09,39,9,42,5,3
2017-10,39,10,44,5,3
2017-11,38,10,42,4,3
2017-12,36,9,41,4,3
2018-01,38,10,50,4,4
2018-02,39,11,48,5,5
2018-03,38,10,49,5,4
2018-04,39,10,49,5,4
2018-05,36,9,47,6,3
2018-06,33,9,47,5,4
2018-07,33,9,48,5,4
2018-08,35,9,44,5,4
2018-09,37,9,43,5,3
2018-10,37,10,43,5,5
2018-11,36,9,40,4,4
2018-12,33,9,40,4,4
2019-01,36,10,49,4,4
2019-02,37,11,46,4,3
2019-03,37,10,46,5,3
2019-04,37,11,47,5,4
2019-05,43,10,42,6,4
2019-06,36,9,43,6,3
2019-07,33,9,43,5,3
2019-08,34,9,42,5,4
2019-09,37,9,41,5,3
2019-10,37,10,43,5,3
2019-11,35,9,40,4,3
2019-12,33,9,39,4,3
2020-01,36,10,48,4,4
2020-02,37,11,48,5,5
2020-03,33,11,39,6,9
2020-04,33,13,43,7,5
2020-05,32,9,50,7,5
2020-06,32,9,48,7,6
2020-07,30,9,48,6,7
2020-08,31,9,46,6,6
2020-09,37,10,45,6,8
2020-10,34,10,50,5,6
2020-11,29,8,43,5,6
2020-12,33,9,48,5,6
