Catégorie : Toutes catégories

Mois,cash: (États-Unis)
2004-01,28
2004-02,26
2004-03,27
2004-04,25
2004-05,29
2004-06,30
2004-07,31
2004-08,30
2004-09,31
2004-10,29
2004-11,28
2004-12,30
2005-01,29
2005-02,32
2005-03,31
2005-04,31
2005-05,30
2005-06,32
2005-07,34
2005-08,32
2005-09,33
2005-10,32
2005-11,56
2005-12,43
2006-01,39
2006-02,36
2006-03,56
2006-04,42
2006-05,38
2006-06,36
2006-07,35
2006-08,34
2006-09,32
2006-10,39
2006-11,35
2006-12,36
2007-01,33
2007-02,30
2007-03,32
2007-04,34
2007-05,30
2007-06,33
2007-07,33
2007-08,34
2007-09,33
2007-10,31
2007-11,32
2007-12,40
2008-01,32
2008-02,31
2008-03,31
2008-04,35
2008-05,34
2008-06,34
2008-07,36
2008-08,34
2008-09,33
2008-10,34
2008-11,32
2008-12,34
2009-01,34
2009-02,35
2009-03,35
2009-04,35
2009-05,36
2009-06,46
2009-07,75
2009-08,100
2009-09,40
2009-10,37
2009-11,38
2009-12,41
2010-01,37
2010-02,37
2010-03,36
2010-04,39
2010-05,37
2010-06,36
2010-07,36
2010-08,37
2010-09,36
2010-10,35
2010-11,35
2010-12,36
2011-01,39
2011-02,38
2011-03,36
2011-04,40
2011-05,39
2011-06,41
2011-07,43
2011-08,42
2011-09,42
2011-10,43
2011-11,41
2011-12,44
2012-01,43
2012-02,43
2012-03,42
2012-04,46
2012-05,44
2012-06,45
2012-07,44
2012-08,45
2012-09,46
2012-10,42
2012-11,44
2012-12,46
2013-01,46
2013-02,44
2013-03,42
2013-04,45
2013-05,47
2013-06,46
2013-07,47
2013-08,48
2013-09,48
2013-10,47
2013-11,49
2013-12,50
2014-01,49
2014-02,48
2014-03,48
2014-04,47
2014-05,50
2014-06,51
2014-07,53
2014-08,52
2014-09,50
2014-10,49
2014-11,48
2014-12,53
2015-01,53
2015-02,51
2015-03,47
2015-04,51
2015-05,50
2015-06,53
2015-07,56
2015-08,55
2015-09,55
2015-10,52
2015-11,52
2015-12,59
2016-01,61
2016-02,58
2016-03,55
2016-04,58
2016-05,59
2016-06,61
2016-07,63
2016-08,58
2016-09,58
2016-10,57
2016-11,58
2016-12,61
2017-01,81
2017-02,91
2017-03,70
2017-04,65
2017-05,62
2017-06,64
2017-07,69
2017-08,70
2017-09,64
2017-10,61
2017-11,66
2017-12,76
2018-01,66
2018-02,66
2018-03,63
2018-04,66
2018-05,65
2018-06,67
2018-07,71
2018-08,72
2018-09,71
2018-10,70
2018-11,72
2018-12,77
2019-01,71
2019-02,70
2019-03,66
2019-04,69
2019-05,73
2019-06,77
2019-07,76
2019-08,74
2019-09,78
2019-10,73
2019-11,75
2019-12,78
2020-01,76
2020-02,75
2020-03,74
2020-04,74
2020-05,71
2020-06,72
2020-07,82
2020-08,74
2020-09,73
2020-10,73
2020-11,70
2020-12,79
