Catégorie : Toutes catégories

Mois,risk: (États-Unis),oil: (États-Unis),opportunity: (États-Unis),golf: (États-Unis),invest: (États-Unis)
2004-01,8,27,4,46,1
2004-02,8,26,3,50,1
2004-03,8,28,3,63,1
2004-04,9,28,3,79,1
2004-05,7,29,3,82,1
2004-06,7,28,2,100,1
2004-07,8,28,2,95,1
2004-08,7,30,2,83,1
2004-09,7,28,2,64,1
2004-10,8,31,2,50,1
2004-11,8,29,2,40,1
2004-12,7,28,2,44,1
2005-01,8,27,2,44,1
2005-02,7,27,3,50,1
2005-03,8,30,2,58,1
2005-04,7,32,2,80,1
2005-05,7,31,2,81,1
2005-06,7,28,2,98,1
2005-07,6,30,2,92,1
2005-08,6,37,2,85,1
2005-09,7,37,2,63,1
2005-10,7,31,2,51,1
2005-11,7,30,2,43,1
2005-12,7,27,2,42,1
2006-01,6,29,2,44,1
2006-02,7,30,2,47,2
2006-03,7,29,2,56,1
2006-04,7,33,2,78,1
2006-05,7,34,2,76,1
2006-06,6,29,2,88,1
2006-07,6,30,2,89,1
2006-08,6,30,2,79,1
2006-09,6,32,2,63,1
2006-10,7,30,2,48,1
2006-11,7,27,2,40,1
2006-12,6,25,2,40,1
2007-01,6,28,2,40,1
2007-02,7,28,2,45,1
2007-03,7,28,2,57,1
2007-04,7,27,2,70,1
2007-05,6,28,2,79,1
2007-06,6,27,2,93,1
2007-07,6,27,2,85,1
2007-08,6,26,2,77,1
2007-09,7,27,2,60,1
2007-10,7,29,2,45,1
2007-11,7,34,2,34,1
2007-12,6,27,2,36,1
2008-01,6,30,2,39,1
2008-02,7,29,2,44,1
2008-03,7,33,2,52,1
2008-04,7,37,2,66,1
2008-05,7,41,2,68,1
2008-06,6,43,2,85,1
2008-07,6,44,2,75,1
2008-08,6,41,2,65,1
2008-09,7,39,2,49,1
2008-10,7,41,2,40,2
2008-11,7,36,2,30,1
2008-12,6,35,2,31,1
2009-01,6,33,2,33,1
2009-02,7,32,2,38,1
2009-03,7,31,2,47,1
2009-04,7,30,2,61,1
2009-05,6,30,2,62,1
2009-06,6,30,2,76,1
2009-07,6,30,2,74,1
2009-08,6,29,2,67,1
2009-09,7,30,2,52,1
2009-10,7,30,2,36,1
2009-11,7,30,2,32,1
2009-12,6,28,2,30,1
2010-01,6,31,2,30,1
2010-02,7,30,2,33,1
2010-03,7,30,2,43,1
2010-04,8,35,2,60,1
2010-05,6,71,2,57,1
2010-06,6,80,2,68,1
2010-07,6,45,2,61,1
2010-08,6,33,2,58,1
2010-09,6,34,2,44,1
2010-10,7,31,2,34,1
2010-11,6,29,2,27,1
2010-12,6,29,2,26,1
2011-01,6,37,2,29,1
2011-02,7,37,2,36,1
2011-03,7,39,2,40,1
2011-04,7,39,2,57,1
2011-05,6,39,2,56,1
2011-06,6,35,2,69,1
2011-07,5,37,2,64,1
2011-08,5,36,2,57,1
2011-09,6,34,2,43,1
2011-10,6,36,2,34,1
2011-11,6,35,2,29,1
2011-12,5,34,2,29,1
2012-01,6,39,2,30,1
2012-02,6,39,2,36,1
2012-03,6,41,2,46,1
2012-04,7,39,2,57,1
2012-05,6,40,2,57,1
2012-06,5,39,2,71,1
2012-07,5,38,2,62,1
2012-08,5,38,2,55,1
2012-09,6,39,2,43,1
2012-10,6,38,2,31,1
2012-11,6,38,2,26,1
2012-12,5,35,2,25,1
2013-01,5,41,2,28,1
2013-02,6,41,2,33,1
2013-03,6,42,2,40,1
2013-04,6,42,2,52,1
2013-05,6,40,2,52,1
2013-06,5,41,2,65,1
2013-07,5,42,2,57,1
2013-08,5,41,2,54,1
2013-09,6,40,2,40,1
2013-10,6,40,2,32,2
2013-11,7,42,2,25,1
2013-12,6,38,2,24,1
2014-01,6,47,2,27,2
2014-02,7,45,2,29,2
2014-03,6,49,2,35,1
2014-04,7,45,2,47,1
2014-05,6,46,2,48,1
2014-06,6,45,2,56,1
2014-07,6,46,2,54,1
2014-08,5,44,2,53,1
2014-09,6,43,2,38,1
2014-10,7,46,2,28,1
2014-11,6,47,2,23,1
2014-12,6,51,2,25,2
2015-01,6,57,2,26,2
2015-02,7,53,2,29,2
2015-03,7,52,2,35,2
2015-04,7,51,2,48,2
2015-05,6,50,2,47,1
2015-06,6,48,2,61,1
2015-07,6,53,2,59,1
2015-08,5,55,2,53,1
2015-09,6,52,2,40,1
2015-10,7,49,2,30,1
2015-11,7,49,2,23,1
2015-12,6,52,2,24,1
2016-01,6,61,2,25,2
2016-02,7,59,2,32,2
2016-03,7,58,2,38,2
2016-04,7,58,2,47,2
2016-05,6,56,2,50,1
2016-06,5,55,2,59,1
2016-07,5,55,1,55,1
2016-08,5,53,2,52,2
2016-09,6,53,2,40,2
2016-10,6,53,2,31,2
2016-11,6,53,2,25,2
2016-12,6,55,2,25,2
2017-01,6,58,2,28,2
2017-02,7,58,2,34,2
2017-03,7,59,2,37,2
2017-04,7,59,2,50,2
2017-05,7,58,2,48,2
2017-06,5,60,2,56,2
2017-07,5,61,1,57,2
2017-08,5,56,2,52,2
2017-09,7,57,2,40,2
2017-10,7,56,2,33,2
2017-11,7,57,2,27,2
2017-12,6,60,2,28,4
2018-01,6,64,2,29,3
2018-02,7,61,2,34,3
2018-03,7,60,2,41,2
2018-04,7,61,2,50,2
2018-05,6,67,2,52,2
2018-06,6,64,2,61,2
2018-07,6,64,2,59,2
2018-08,6,64,2,53,2
2018-09,7,59,2,42,2
2018-10,7,61,2,29,2
2018-11,7,64,2,26,2
2018-12,6,63,2,26,2
2019-01,6,66,2,28,2
2019-02,7,64,3,34,2
2019-03,7,65,2,39,2
2019-04,8,65,2,50,2
2019-05,7,63,2,51,2
2019-06,6,65,2,59,2
2019-07,6,64,2,56,2
2019-08,6,62,2,54,2
2019-09,7,62,2,38,2
2019-10,7,58,2,30,2
2019-11,7,58,2,27,2
2019-12,6,56,2,27,2
2020-01,6,60,2,29,2
2020-02,8,59,3,34,3
2020-03,10,65,2,32,4
2020-04,9,79,2,34,3
2020-05,7,67,2,52,3
2020-06,7,62,2,62,3
2020-07,8,60,2,61,3
2020-08,8,59,2,63,3
2020-09,9,55,3,54,3
2020-10,8,57,2,42,2
2020-11,7,54,2,39,3
2020-12,8,59,2,37,3
