Catégorie : Toutes catégories

Mois,cisco: (États-Unis)
2004-01,94
2004-02,99
2004-03,97
2004-04,95
2004-05,94
2004-06,100
2004-07,96
2004-08,97
2004-09,91
2004-10,88
2004-11,85
2004-12,82
2005-01,83
2005-02,88
2005-03,84
2005-04,86
2005-05,90
2005-06,88
2005-07,86
2005-08,90
2005-09,86
2005-10,78
2005-11,78
2005-12,73
2006-01,74
2006-02,77
2006-03,80
2006-04,73
2006-05,77
2006-06,73
2006-07,70
2006-08,74
2006-09,71
2006-10,73
2006-11,67
2006-12,61
2007-01,73
2007-02,76
2007-03,74
2007-04,67
2007-05,71
2007-06,74
2007-07,70
2007-08,76
2007-09,69
2007-10,74
2007-11,67
2007-12,59
2008-01,67
2008-02,70
2008-03,68
2008-04,69
2008-05,66
2008-06,64
2008-07,67
2008-08,65
2008-09,65
2008-10,67
2008-11,59
2008-12,57
2009-01,63
2009-02,68
2009-03,68
2009-04,65
2009-05,61
2009-06,65
2009-07,65
2009-08,63
2009-09,63
2009-10,67
2009-11,63
2009-12,58
2010-01,64
2010-02,67
2010-03,73
2010-04,72
2010-05,70
2010-06,74
2010-07,63
2010-08,64
2010-09,66
2010-10,63
2010-11,63
2010-12,60
2011-01,64
2011-02,66
2011-03,64
2011-04,63
2011-05,63
2011-06,65
2011-07,63
2011-08,65
2011-09,60
2011-10,58
2011-11,57
2011-12,52
2012-01,57
2012-02,59
2012-03,57
2012-04,58
2012-05,59
2012-06,57
2012-07,56
2012-08,58
2012-09,54
2012-10,56
2012-11,52
2012-12,46
2013-01,54
2013-02,56
2013-03,54
2013-04,54
2013-05,54
2013-06,53
2013-07,53
2013-08,54
2013-09,51
2013-10,53
2013-11,49
2013-12,43
2014-01,50
2014-02,52
2014-03,51
2014-04,52
2014-05,51
2014-06,51
2014-07,51
2014-08,51
2014-09,51
2014-10,52
2014-11,45
2014-12,45
2015-01,49
2015-02,51
2015-03,51
2015-04,51
2015-05,50
2015-06,53
2015-07,53
2015-08,51
2015-09,50
2015-10,50
2015-11,44
2015-12,42
2016-01,41
2016-02,45
2016-03,45
2016-04,43
2016-05,43
2016-06,45
2016-07,40
2016-08,44
2016-09,39
2016-10,40
2016-11,38
2016-12,34
2017-01,42
2017-02,43
2017-03,42
2017-04,40
2017-05,40
2017-06,40
2017-07,38
2017-08,40
2017-09,36
2017-10,39
2017-11,36
2017-12,31
2018-01,37
2018-02,39
2018-03,37
2018-04,37
2018-05,37
2018-06,37
2018-07,36
2018-08,38
2018-09,33
2018-10,35
2018-11,32
2018-12,29
2019-01,35
2019-02,37
2019-03,36
2019-04,36
2019-05,36
2019-06,36
2019-07,35
2019-08,35
2019-09,34
2019-10,35
2019-11,31
2019-12,27
2020-01,32
2020-02,35
2020-03,38
2020-04,32
2020-05,30
2020-06,31
2020-07,31
2020-08,31
2020-09,30
2020-10,29
2020-11,24
2020-12,27
