Catégorie : Toutes catégories

Mois,crisis: (États-Unis)
2004-01,38
2004-02,50
2004-03,49
2004-04,57
2004-05,55
2004-06,42
2004-07,33
2004-08,30
2004-09,44
2004-10,47
2004-11,47
2004-12,44
2005-01,39
2005-02,43
2005-03,42
2005-04,53
2005-05,57
2005-06,35
2005-07,30
2005-08,30
2005-09,38
2005-10,42
2005-11,44
2005-12,38
2006-01,34
2006-02,39
2006-03,43
2006-04,50
2006-05,52
2006-06,33
2006-07,35
2006-08,28
2006-09,30
2006-10,37
2006-11,38
2006-12,34
2007-01,30
2007-02,33
2007-03,36
2007-04,43
2007-05,43
2007-06,31
2007-07,28
2007-08,32
2007-09,40
2007-10,44
2007-11,49
2007-12,44
2008-01,41
2008-02,44
2008-03,56
2008-04,75
2008-05,60
2008-06,47
2008-07,42
2008-08,39
2008-09,79
2008-10,100
2008-11,74
2008-12,62
2009-01,58
2009-02,70
2009-03,70
2009-04,65
2009-05,58
2009-06,48
2009-07,41
2009-08,37
2009-09,43
2009-10,48
2009-11,52
2009-12,45
2010-01,42
2010-02,49
2010-03,51
2010-04,55
2010-05,60
2010-06,44
2010-07,32
2010-08,30
2010-09,36
2010-10,42
2010-11,45
2010-12,40
2011-01,41
2011-02,49
2011-03,66
2011-04,56
2011-05,49
2011-06,38
2011-07,39
2011-08,38
2011-09,39
2011-10,43
2011-11,46
2011-12,41
2012-01,38
2012-02,39
2012-03,40
2012-04,44
2012-05,43
2012-06,35
2012-07,30
2012-08,29
2012-09,35
2012-10,44
2012-11,42
2012-12,36
2013-01,37
2013-02,40
2013-03,43
2013-04,49
2013-05,44
2013-06,32
2013-07,29
2013-08,31
2013-09,38
2013-10,40
2013-11,39
2013-12,34
2014-01,33
2014-02,40
2014-03,59
2014-04,56
2014-05,54
2014-06,41
2014-07,37
2014-08,33
2014-09,36
2014-10,39
2014-11,38
2014-12,36
2015-01,32
2015-02,37
2015-03,41
2015-04,47
2015-05,43
2015-06,38
2015-07,39
2015-08,32
2015-09,51
2015-10,50
2015-11,56
2015-12,41
2016-01,47
2016-02,50
2016-03,50
2016-04,54
2016-05,47
2016-06,39
2016-07,34
2016-08,31
2016-09,37
2016-10,40
2016-11,41
2016-12,38
2017-01,38
2017-02,43
2017-03,45
2017-04,50
2017-05,48
2017-06,33
2017-07,31
2017-08,33
2017-09,37
2017-10,44
2017-11,49
2017-12,44
2018-01,39
2018-02,54
2018-03,46
2018-04,52
2018-05,48
2018-06,40
2018-07,32
2018-08,33
2018-09,40
2018-10,41
2018-11,41
2018-12,40
2019-01,40
2019-02,44
2019-03,44
2019-04,51
2019-05,48
2019-06,39
2019-07,33
2019-08,33
2019-09,39
2019-10,44
2019-11,44
2019-12,65
2020-01,55
2020-02,46
2020-03,72
2020-04,64
2020-05,58
2020-06,51
2020-07,38
2020-08,35
2020-09,38
2020-10,38
2020-11,34
2020-12,39
